block,company,platform,url,status
A,Falconi,instagram,https://www.instagram.com/falconioficial/,confirmado
A,Falconi,linkedin,https://br.linkedin.com/company/falconi-oficial,confirmado
A,Auddas,instagram,https://www.instagram.com/auddas_/,confirmado
A,Auddas,linkedin,https://br.linkedin.com/company/auddas-consulting,confirmado
A,G4 Business,instagram,https://www.instagram.com/g4.business/,confirmado
A,G4 Business,linkedin,https://br.linkedin.com/school/g4educacao/,confirmado
A,V4 Company,instagram,https://www.instagram.com/v4company/,confirmado
A,V4 Company,linkedin,https://br.linkedin.com/company/v4companysa,confirmado
A,EloGroup,instagram,https://www.instagram.com/elogroup/,confirmado
A,EloGroup,linkedin,https://br.linkedin.com/company/elo-group,confirmado
A,Teclat,instagram,https://www.instagram.com/teclat.of/,confirmado
A,Teclat,linkedin,https://br.linkedin.com/company/tecla-t,confirmado
B,Omie,instagram,https://www.instagram.com/omieoficial/,confirmado
B,Omie,linkedin,https://br.linkedin.com/company/omie,confirmado
B,Conta Azul,instagram,https://www.instagram.com/contaazul/,confirmado
B,Conta Azul,linkedin,https://br.linkedin.com/company/contaazul,confirmado
B,Asaas,instagram,https://www.instagram.com/asaas.brasil/,confirmado
B,Asaas,linkedin,https://br.linkedin.com/company/asaasbrasil,confirmado
B,Nuvemshop,instagram,https://www.instagram.com/nuvemshop/,confirmado
B,Nuvemshop,linkedin,https://br.linkedin.com/company/nuvemshop,confirmado
B,Stone,instagram,https://www.instagram.com/stone/,confirmado
B,Stone,linkedin,https://br.linkedin.com/company/stone-co,confirmado
C,Viver de IA,instagram,https://www.instagram.com/viverdeia.ai/,confirmado
C,Viver de IA,linkedin,https://br.linkedin.com/company/vivedeia,confirmado
C,RD Station,instagram,https://www.instagram.com/rdstation/,confirmado
C,RD Station,linkedin,https://br.linkedin.com/company/rd-station,confirmado
